,embeddings
0,"[0.06731574237346649, 0.11190391331911087, -0.006750152911990881, -0.03947910666465759, -0.01848551072180271, 0.005825103260576725, -0.04694142937660217, 0.062330540269613266, 0.017262432724237442, 0.05362965539097786, 0.09945638477802277, -0.06985479593276978, -0.08149725943803787, 0.004443334415555, 0.09691733121871948, -0.05282459035515785, -0.033100519329309464, -0.042111046612262726, -0.01423570141196251, 0.0671299621462822, 0.030716292560100555, 0.22356010973453522, -0.01698375679552555, 0.03957199677824974, 0.03334823250770569, 0.05876968055963516, -0.0702882930636406, 0.01843906380236149, -0.014584045857191086, 0.030236350372433662, 0.1668340563774109, -0.065953329205513, -0.04437141865491867, 0.08830934017896652, 0.1099841445684433, 0.010581948794424534, 0.04895409196615219, -0.026350367814302444, 0.007741000968962908, 0.016797972843050957, -0.004888442344963551, -0.031227199360728264, 0.021334199234843254, 0.030886594206094742, 0.09283008426427841, 0.015629081055521965, 0.005755434278398752, 0.11134655773639679, 0.14070042967796326, 0.050935786217451096, -0.03628981485962868, -0.05068807676434517, -0.030778219923377037, 0.14206285774707794, 0.041182126849889755, 0.0807541236281395, 0.1048441156744957, 0.009560136124491692, -0.00558900274336338, -0.04177044332027435, -0.009327906183898449, -0.08818548172712326, 0.07319890707731247, 0.1605173945426941, -0.0402841679751873, -0.04731299728155136, 0.026923201978206635, 0.018764186650514603, -0.054310861974954605, -0.005697377026081085, -0.014382779598236084, -0.007001735270023346, -0.10131422430276871, -0.008267389610409737, -0.012664278037846088, -0.03232641890645027, 0.08484137058258057, -0.0017320490442216396, -0.09741275757551193, 0.011743098497390747, 0.03183099627494812, -0.010922553017735481, -0.08422209322452545, -0.06034884601831436, -0.051802780479192734, 0.03697102144360542, -0.16559550166130066, -0.08874283730983734, 0.024709274992346764, -0.15122820436954498, -0.0560758113861084, 0.05412507802248001, -0.04458816722035408, 0.03433908149600029, -0.060410771518945694, -0.09134381264448166, 0.044340454041957855, 0.08577029407024384, -0.010465833358466625, 0.03532993048429489, -0.03260509669780731, -0.022325046360492706, 0.06099908798933029, 0.08626571297645569, -0.002295206766575575, -0.07121720910072327, -0.1504850685596466, -0.030669845640659332, 0.008375762961804867, -0.015125916339457035, -0.14094814658164978, -0.15667785704135895, -0.05167892202734947, 0.0985274612903595, -0.03282184526324272, -0.019321538507938385, -0.07257962971925735, -0.01207596156746149, 0.10707353055477142, 0.03427715227007866, -0.03235738351941109, -0.04121309146285057, -0.06366199254989624, -0.13042038679122925, -0.010303272865712643, 0.07004057615995407, -0.06620103865861893, 0.06490055471658707, -0.05945088714361191, -0.07196034491062164, 0.08558450639247894, -0.08360280841588974, 0.016364475712180138, -0.11543381214141846, -0.03291473537683487, 0.05127638950943947, -0.030840149149298668, 0.03226449340581894, -0.09660769253969193, 0.03068532794713974, 0.03604210168123245, -0.01843906380236149, -0.10552532970905304, 0.023470714688301086, -0.07920592278242111, -0.06725382059812546, 0.020699437707662582, 0.03926235809922218, -0.01692182756960392, 0.04378310218453407, 0.026195548474788666, 0.05613774061203003, -0.08769006282091141, -0.08038255572319031, 0.019987264648079872, -0.03471064940094948, 0.0228049885481596, 0.006560498382896185, 0.014467931352555752, -0.10273856669664383, 0.0242912620306015, 0.08595607429742813, 0.08440787345170975, 0.024848613888025284, 0.04731299728155136, -0.019166719168424606, -0.04365924745798111, -0.047839388251304626, -0.05068807676434517, -0.07319890707731247, -0.040036458522081375, -0.0029551272746175528, 0.038178618997335434, -0.05378447473049164, -0.03375076502561569, 0.018470028415322304, -0.004776197485625744, -0.013461600989103317, -0.002053300617262721, -0.0612158365547657, -0.0031989687122404575, 0.07505674660205841, -0.03412233293056488, 0.025034397840499878, -0.0734466165304184, -0.1005091592669487, -0.046910468488931656, 0.0961741954088211, -0.057809796184301376, 0.031165270134806633, -0.013035845942795277, 0.06582947075366974, 0.07883435487747192, 0.05988438427448273, -0.019398948177695274, -0.008770554326474667, 0.04780842363834381, 0.054651468992233276, 0.11456681787967682, 0.03684716671705246, 0.006575980223715305, -0.016379958018660545, 0.03368883579969406, -0.08001098781824112, -0.07604759186506271, -0.03985067456960678, 0.03582535311579704, 0.03350305184721947, -0.004350442439317703, -0.0460125096142292, 0.1358700543642044, -0.004273032769560814, -0.0006304077687673271, 0.03331726789474487, -0.06137065589427948, 0.014885945245623589, -0.01747918128967285, 0.044123705476522446, -0.012439788319170475, 0.040191277861595154, 0.07350854575634003, 0.05347483605146408, 0.09047681838274002, 0.02422933280467987, 0.024322224780917168, -0.021550947800278664, -0.005616096314042807, -0.016441887244582176, 0.01877966895699501, 0.003262832062318921, -0.08162111788988113, 0.05177181586623192, -0.05951281636953354, -0.022928845137357712, 0.08440787345170975, -0.05945088714361191, -0.005666412878781557, -0.0649624839425087, 0.04780842363834381, 0.010063301771879196, 0.06282596290111542, 0.007973231375217438, -0.04084152355790138, -0.11524802446365356, 0.009157604537904263, 0.018531955778598785, -0.05087386071681976, -0.0035686015617102385, 0.017463698983192444, -0.03477257862687111, 0.08360280841588974, -0.06855430454015732, 0.0023668110370635986, -0.06229957565665245, -0.0692974403500557, 0.10893137007951736]"
1,"[-0.03424141928553581, 0.09880205243825912, 0.10029622912406921, 0.057214297354221344, -0.0344281904399395, -0.11168927699327469, 0.06042053923010826, -0.00033949586213566363, 0.030755018815398216, 0.03638928756117821, 0.01005452498793602, -0.09388374537229538, -0.04803137108683586, -0.04971231147646904, 0.016482573002576828, 0.01805456541478634, 0.03480173274874687, -0.1609969288110733, 0.01680942252278328, -0.0011284103384241462, 0.031066304072737694, 0.15502023696899414, 0.015214084647595882, 0.03679395839571953, 0.012778274714946747, 0.06082521006464958, -0.125074565410614, 0.016965067014098167, 0.0474710576236248, 0.024342535063624382, 0.08174360543489456, -0.0675489753484726, 0.012202396057546139, 0.007015599403530359, 0.04037374630570412, 0.007241281680762768, 0.07402371615171432, 0.016949502751231194, 0.07931557297706604, -0.018537059426307678, -0.06624157726764679, -0.04286402836441994, 0.09276311099529266, 0.07271631807088852, -0.03142428398132324, 0.0399690717458725, -0.09662305563688278, 0.11953368037939072, 0.050739556550979614, 0.03912860155105591, -0.06536997854709625, -0.02168104238808155, 0.030677197501063347, 0.007171242497861385, -0.09992268681526184, -0.12358038872480392, 0.11623404920101166, 0.03411690518260002, -0.05948667973279953, 0.06400032341480255, 0.10627291351556778, -0.09967365115880966, 0.10919899493455887, 0.055408839136362076, -0.01833472214639187, -0.06773575395345688, 0.013214074075222015, 0.054039184004068375, -0.11405505239963531, 0.009042846970260143, 0.024467049166560173, 0.03302740305662155, -0.0715956911444664, 0.035735588520765305, 0.11237410455942154, -0.00047908801934681833, 0.06966572254896164, 0.00997670367360115, 0.019128501415252686, -0.005937773268669844, 0.026770563796162605, -0.06088746711611748, 0.0023171324282884598, -0.0122257424518466, -0.03105073980987072, -0.09612499922513962, -0.25649935007095337, -0.038879573345184326, -0.03906634449958801, -0.06786026805639267, 0.008334672078490257, 0.09587597101926804, -0.02421802096068859, 0.049214255064725876, 0.11393053829669952, -0.0661793202161789, 0.010062308050692081, -0.022988442331552505, -0.021852251142263412, -0.02731531299650669, 0.010980600491166115, 0.04974344000220299, -0.026007913053035736, 0.03688734397292137, 0.0412764735519886, -0.10477873682975769, -0.09070862829685211, -0.12358038872480392, 0.10851416736841202, 0.01947091519832611, -0.13858436048030853, -0.02381335012614727, -0.057058654725551605, 0.1032845675945282, -0.12912127375602722, -0.06431160867214203, 0.023579886183142662, 0.021416449919342995, 0.09214054048061371, -0.02533864974975586, 0.029416490346193314, 0.03221806138753891, -0.02160322107374668, 0.03467721864581108, -0.0007509765564464033, -0.02815578319132328, 0.006813263986259699, -0.0016751057701185346, -0.1433158963918686, -0.07657626271247864, -0.06443612277507782, -0.0313308984041214, 0.01785222999751568, -0.0440157875418663, 0.013836645521223545, 0.025992348790168762, -0.07863074541091919, 0.04526092857122421, 0.017992308363318443, 0.0351441465318203, -0.060918595641851425, 0.033400945365428925, 0.03358771651983261, -0.05553335323929787, 0.014591513201594353, -0.013992288149893284, 0.024887284263968468, 0.01845923624932766, -0.018754959106445312, -0.08217940479516983, 0.05136212706565857, -0.034054648131132126, -0.011416399851441383, -0.04476287215948105, 0.114241823554039, -0.008435839787125587, -0.02896512672305107, 0.009447518736124039, -0.05933103710412979, -0.10309779644012451, 0.022817235440015793, -0.021774429827928543, -0.05139325559139252, 0.021572092548012733, 0.016202416270971298, -0.020607108250260353, -0.053354356437921524, 0.011478656902909279, -0.05877072364091873, -0.06094972416758537, 0.012000060640275478, -0.08821834623813629, -0.10988382250070572, 0.03259160369634628, 0.052794039249420166, -0.029011819511651993, -0.06848283857107162, -0.05077068507671356, -0.0935724601149559, -0.0261479914188385, 0.043299827724695206, 0.007537003140896559, 0.004027257673442364, 0.014677116647362709, -0.1597517728805542, -0.08560354262590408, 0.05905088037252426, -0.0027373679913580418, -0.057058654725551605, -0.012412513606250286, -0.059953611344099045, 0.06256841123104095, 0.029867855831980705, -0.06372016668319702, 0.024887284263968468, -0.04189904406666756, -0.021229678764939308, 0.0454476997256279, -0.018272465094923973, 0.03445931896567345, 0.08174360543489456, -0.09531565755605698, 0.05933103710412979, 0.06636609137058258, 0.022256921976804733, 0.02610129863023758, -0.006424156948924065, 0.11797724664211273, -0.028887305408716202, -0.07115989178419113, 0.0702260360121727, -0.005684853531420231, 0.01919075846672058, 0.059548936784267426, 0.09021057188510895, -0.06017151102423668, -0.05298081040382385, 0.017245223745703697, 0.048529427498579025, 0.06673963367938995, 0.11666984856128693, -0.001607984770089388, -0.024124635383486748, 0.0756424069404602, -0.00884829368442297, 0.09394600242376328, -0.0282336063683033, -0.09182925522327423, 0.11231184750795364, -0.008233504369854927, -0.048249270766973495, -0.007365795783698559, 0.020747186616063118, -0.04899635538458824, 0.03467721864581108, -0.038755059242248535, 0.02698846347630024, 0.012910570949316025, 0.02353319339454174, 0.042895156890153885, -0.01705845259130001, -0.004525314550846815, 0.004389127250760794, -0.11772821843624115, 0.11256087571382523, -0.005058391485363245, -0.07526886463165283, 0.01982889324426651, -0.054879654198884964, -0.006326880306005478, 0.08983702957630157, 0.068856380879879, 0.086848683655262, -0.04516754299402237, -0.02896512672305107, 0.033930134028196335]"
2,"[-0.10598180443048477, 0.004455298185348511, 0.07128477096557617, 0.00015769201854709536, -0.08911874145269394, 0.008105768822133541, -0.05237770080566406, -0.13173630833625793, -0.0003870440705213696, -0.03822294622659683, -0.007505341432988644, 0.013260500505566597, 0.022752363234758377, 0.02364661544561386, -0.057794321328401566, 0.03311292827129364, -0.0373542420566082, 0.08692143112421036, 0.042310964316129684, 0.09121385216712952, 0.07389088720083237, 0.08155591040849686, -0.02644435130059719, -0.1277504861354828, 0.003211328061297536, 0.038274046033620834, 0.08646152913570404, 0.010986542329192162, -0.023518865928053856, -0.1363353282213211, 0.0022500054910779, -0.07537279278039932, 0.012168234214186668, -0.08508182317018509, -0.010775754228234291, 0.10782141238451004, 0.027364155277609825, -0.04093125835061073, -0.0718979761004448, -0.006872976198792458, -0.0034332943614572287, 0.04075240716338158, -0.09044734388589859, -0.035105835646390915, 0.03998590260744095, 0.09310455620288849, 0.022075284272432327, 0.13490451872348785, 0.03237197548151016, 0.02774740569293499, -0.008099380880594254, -0.07593489438295364, -0.08584833145141602, -0.08876103907823563, -0.12151626497507095, -0.03229532390832901, 0.019826875999569893, -0.09157155454158783, 0.18242770433425903, 0.08293561637401581, -0.0028855642303824425, -0.0033598379231989384, 0.04563247412443161, 0.05000154301524162, 0.012660074047744274, 0.12938569486141205, 0.09484196454286575, 0.025307372212409973, -0.06459064781665802, 0.03495253250002861, 0.024630295112729073, 0.052990902215242386, 0.02825840935111046, -0.04596462473273277, 0.04128895699977875, 0.0413145087659359, 0.011899958364665508, -0.06280214339494705, 0.0453258752822876, 0.013145525939762592, -0.05107464641332626, 0.02879496105015278, -0.1414453387260437, 0.10853681713342667, 0.023953216150403023, -0.06423294544219971, -0.1199832633137703, 0.04757428169250488, -0.005438976921141148, -0.003551463596522808, 0.0854395255446434, -0.07092707604169846, 0.021564282476902008, 0.018242770805954933, -0.10506200045347214, 0.03410938009619713, 0.09054955095052719, 0.025384021922945976, 0.05661901831626892, 0.0240170918405056, 0.05107464641332626, -0.12999889254570007, 0.06367084383964539, -0.021040506660938263, 0.042592015117406845, -0.02641880139708519, 0.006480143405497074, -0.0037015704438090324, -0.03709874302148819, 0.016262637451291084, -0.1465553641319275, -0.03196317330002785, 0.02574172429740429, 0.08293561637401581, -0.06581705063581467, 0.0720512792468071, 0.00953657366335392, -0.06060483306646347, 0.08216911554336548, 0.032397523522377014, -0.02825840935111046, 0.027006452903151512, -0.058305323123931885, 0.01213629636913538, 0.02616330049932003, -0.02616330049932003, -0.05498380959033966, -0.0427708625793457, -0.05472831055521965, -0.051355697214603424, 0.025422347709536552, 0.022777913138270378, 0.005534789990633726, 0.006256580352783203, 0.0506913959980011, -0.005394264589995146, 0.020274002104997635, 0.0466289296746254, -0.013375476002693176, -0.0037015704438090324, -0.030200215056538582, 0.007428690791130066, 0.06653245538473129, -0.05518821254372597, -0.009051122702658176, 0.08865883946418762, 0.0021669676061719656, 0.049005087465047836, 0.13745953142642975, 0.16454263031482697, -0.025166846811771393, -0.053808506578207016, -0.0748617872595787, -0.061013635247945786, -0.06627695262432098, -0.047088831663131714, -0.01094821747392416, -0.054523907601833344, -0.0029765863437205553, 0.07056937366724014, -0.15830840170383453, -0.10342679917812347, 0.042055461555719376, -0.009517411701381207, 0.018191669136285782, -0.014065328985452652, 0.039858151227235794, -0.05012929067015648, -0.15381158888339996, -0.0009389661136083305, -0.006384330801665783, 0.045785777270793915, 0.020133476704359055, 0.12846589088439941, -0.0426686629652977, 0.05585251376032829, 0.04903063923120499, -0.003915552515536547, -0.05227550119161606, -0.0067388382740318775, 0.028718309476971626, 0.006841038819402456, 0.052939802408218384, -0.010986542329192162, 0.029740314930677414, 0.023914892226457596, -0.14195634424686432, 0.06172903627157211, -0.03824849799275398, 0.10567520558834076, -0.0012511563254520297, -0.06106473505496979, 0.023046188056468964, 0.07802999764680862, 0.029842514544725418, 0.024234268814325333, -0.043384067714214325, 0.00594678521156311, 0.06372194737195969, -1.523274931969354e-05, -0.027619656175374985, 0.0071540274657309055, 0.13020330667495728, -0.06765665858983994, -0.04054800420999527, -0.09376885741949081, 0.0018268320709466934, 0.03449263423681259, 0.08124931156635284, -0.010322239249944687, -0.0021030923817306757, -0.007339265663176775, 0.07986960560083389, 0.1094566211104393, 0.047906432300806046, 0.09795907884836197, 0.01655646413564682, -0.0015529668889939785, -0.011433669365942478, 0.013094425201416016, 0.00199131085537374, 0.010897116735577583, 0.029050461947917938, 0.038274046033620834, 0.061524637043476105, 0.04540252313017845, -0.009721812792122364, -0.004835356026887894, 0.016850288957357407, 0.024055417627096176, -0.01145921926945448, -0.002767394995316863, -0.07133587449789047, -0.06244444102048874, 0.07675249129533768, 0.1385837346315384, 0.11896125972270966, -0.05764102190732956, -0.11896125972270966, -0.00868703331798315, -0.12417347729206085, -0.09187815338373184, 0.008067443035542965, -0.03625559061765671, -0.0400114543735981, -0.10547080636024475, 0.014755181968212128, 0.03520803526043892, 0.0427708625793457, -0.07593489438295364, -0.07092707604169846, 0.027364155277609825, 0.08978304266929626, -0.04805973544716835, -0.06867866218090057, 0.008923371322453022]"
3,"[-0.011692549102008343, 0.0660863146185875, 0.12922455370426178, -0.0014989955816417933, -0.011884481646120548, 0.006828970741480589, 0.036206211894750595, 0.0017014846671372652, -0.003807947738096118, 0.008544850163161755, 0.09268053621053696, -0.12289843708276749, -0.05318843200802803, -0.027239110320806503, 0.0712454691529274, -0.04824424162507057, -0.045142605900764465, 0.028298579156398773, 0.014901665970683098, 0.01355813629925251, 0.06362957507371902, 0.11233446002006531, -0.059360992163419724, -0.07001709938049316, -0.008905683644115925, 0.10527132451534271, 0.0061226580291986465, -0.04861275106668472, -0.05822474882006645, -0.04253231734037399, 0.17774516344070435, -0.05570659041404724, -0.018748000264167786, 0.026271767914295197, -0.06326106935739517, 0.03436365723609924, -0.02350793592631817, 0.031108476221561432, 0.01679796352982521, -0.017581049352884293, 0.009212777018547058, 0.018318070098757744, -0.004583356436342001, -0.024813078343868256, 0.07026277482509613, -0.029496239498257637, -0.0028943473007529974, 0.006590974051505327, 0.06835880130529404, 0.03531564399600029, -0.08672294020652771, 0.12050312012434006, 0.0019490780541673303, 0.04486622288823128, -0.011562034487724304, -0.055829428136348724, -0.04492764174938202, -0.014840248040854931, 8.475034701405093e-05, 0.08162520080804825, -0.0058654677122831345, -0.06504220515489578, 0.0979011058807373, 0.006180237513035536, 0.04677019640803337, -0.029726559296250343, 0.0050094472244381905, 0.0434228889644146, -0.006548748817294836, 0.07265809923410416, -0.11626524478197098, -0.0058884997852146626, 0.009734833613038063, -0.02598002925515175, 0.06313823163509369, -0.009796252474188805, -0.013120529241859913, -0.07591328024864197, 0.012421893887221813, 0.038662951439619064, -0.032613229006528854, -0.006479653064161539, -0.019438957795500755, -0.03780309483408928, 0.025243008509278297, -0.13020724058151245, -0.15833692252635956, 0.08531031012535095, -0.03611408546566963, -0.0528506301343441, -0.12007319182157516, 0.026471378281712532, -0.1254166066646576, -0.03850940614938736, 0.008775169961154461, -0.057272762060165405, 0.1544061303138733, 0.12922455370426178, 0.04179529845714569, 0.05002537742257118, -0.030755318701267242, -0.029726559296250343, -0.008982457220554352, 0.0450504794716835, 0.016521578654646873, -0.027039499953389168, -0.03893933445215225, 0.019546441733837128, -0.02422960288822651, 0.054785311222076416, -0.07843143492937088, -0.020913003012537956, 0.013750068843364716, 0.05420183762907982, -0.13684044778347015, -0.020222045481204987, -0.17160332202911377, 0.06375241279602051, 0.00026990557671524584, -0.028390707448124886, -0.0775715783238411, 0.05739559978246689, 0.05303488299250603, 0.05217502638697624, 0.05960666388273239, 0.04201026260852814, 0.04148820415139198, 0.07775583118200302, -0.1283646821975708, -0.0760975331068039, 0.12443390488624573, -0.03964564949274063, -0.09507585316896439, 0.025519391521811485, -0.07278093695640564, 0.016644416376948357, -0.06571780890226364, 0.08359059691429138, -0.041150402277708054, -0.004122717771679163, 0.13708612322807312, 0.04093543812632561, 0.02780723012983799, 0.07867711037397385, -0.11902907490730286, 0.12848752737045288, 0.07677313685417175, -0.05601368099451065, 0.004310811869800091, -0.000135192705783993, 0.11331715434789658, 0.01358884572982788, 0.040843307971954346, -0.057671982795000076, 0.05103878304362297, -0.10134053975343704, 0.0038674469105899334, 0.06854306161403656, 0.03166124224662781, 0.046217430382966995, 0.008306853473186493, 0.19776760041713715, -0.1193975880742073, 0.00507470453158021, 0.0682973861694336, -0.02180357091128826, 0.05073168873786926, -0.05125374719500542, -0.1401570439338684, -0.010041926987469196, -0.06283113360404968, -0.05460105463862419, -0.035069968551397324, -0.04812140390276909, -0.11970467865467072, -0.013473685830831528, -0.056167230010032654, -0.02957301214337349, 0.015462109819054604, -0.030202552676200867, -0.023016586899757385, 0.08064250648021698, 0.02608751319348812, -0.02570364624261856, -0.04422132670879364, -0.004821353126317263, -0.010748239234089851, -0.018809419125318527, 0.054017581045627594, 0.0393078476190567, -0.01265221368521452, 0.036912523210048676, 0.1313127726316452, 0.041887424886226654, -0.053280558437108994, -0.042992956936359406, 0.04314650222659111, 0.036175504326820374, -0.03703536093235016, 0.014387286268174648, -0.0448969304561615, -0.031599823385477066, 0.11577389389276505, -0.05020963400602341, -0.07959838956594467, -0.03854011744260788, -0.0005652422551065683, 0.004491228610277176, -0.012613826431334019, 0.058716095983982086, 0.035806991159915924, -0.021542543545365334, 0.007727216463536024, -0.025104817003011703, -0.03270535543560982, -0.03887791559100151, -0.04419061914086342, 0.040167707949876785, 0.14863279461860657, 0.12381971627473831, 0.06338389962911606, 0.005136122927069664, 0.00908226240426302, 0.022893749177455902, -0.06040510535240173, 0.13033008575439453, 0.04624813795089722, 0.032951030880212784, 0.019822824746370316, -0.06461227685213089, 0.0856788232922554, -0.033688053488731384, -0.051929350942373276, 0.010709852911531925, 0.04391423612833023, -0.02992616966366768, 0.0563821941614151, -0.02422960288822651, -0.06743752211332321, -0.0006525716744363308, 0.021527187898755074, 0.07855427265167236, -0.00019121309742331505, -0.09654989838600159, -0.10447289049625397, -0.00596911134198308, -0.016629062592983246, -0.02037559077143669, -0.07063128799200058, -0.014533155597746372, 0.08985528349876404, 0.0671304315328598, -0.04204097017645836, 0.038417279720306396, -0.035162098705768585, -0.0003872245142702013]"
4,"[-0.06223287433385849, 0.010073783807456493, 0.05822939798235893, 0.12466103583574295, -0.05735058709979057, 0.002062765881419182, 0.06656183302402496, -0.04260608181357384, 0.019610514864325523, 0.07460132986307144, -0.008019154891371727, 0.050905968993902206, 0.04537271335721016, 0.051784779876470566, 0.025306515395641327, 0.035803429782390594, 0.04768365994095802, -0.0923728495836258, 0.005207771901041269, 0.018357396125793457, 0.003816320328041911, 0.1051969900727272, 0.019496595486998558, 0.0399371013045311, 0.04205275699496269, 0.026657281443476677, 0.007587886415421963, 0.09888256341218948, 0.05409573018550873, -0.047716207802295685, 0.022198127582669258, -0.09282853454351425, -0.01032603532075882, -0.07941851764917374, -0.014931658282876015, 0.05211026594042778, 0.0386677049100399, 0.048855409026145935, 0.02063579484820366, -0.002795108826830983, -0.01816210336983204, -0.029993509873747826, 0.03957906737923622, 0.08618862181901932, -0.013466971926391125, -0.00855213776230812, -0.04159707576036453, 0.1108604446053505, 0.10741029679775238, 0.025941213592886925, 0.0309862419962883, -0.06893787533044815, -0.038537509739398956, 0.0359661728143692, -0.037853989750146866, -0.03298797830939293, 0.038570061326026917, -0.08026478439569473, 0.023630265146493912, 0.01933385245501995, -0.013434424065053463, -0.05910820886492729, 0.02849627658724785, 0.06379520148038864, -0.007905234582722187, -0.10135626047849655, 0.036747340112924576, -0.05455140769481659, -0.10337427258491516, -0.10910281538963318, -0.09445595741271973, 0.14399488270282745, 0.09998922049999237, 0.040327683091163635, 0.06402304768562317, 0.004137737210839987, 0.046642106026411057, -0.06750573962926865, 0.04560055211186409, -0.03840731829404831, 0.012938058003783226, -0.029326265677809715, -0.05171968415379524, -0.0022906058002263308, -0.021400686353445053, -0.1731584072113037, -0.1637844294309616, 0.027780206874012947, 0.026396892964839935, 0.02156342938542366, 0.05848978832364082, 0.09803630411624908, -0.011090926826000214, -0.0623956173658371, -0.03171858564019203, 0.057383134961128235, 0.05152439326047897, 0.019203659147024155, -0.04328960180282593, -0.08156672865152359, 0.03730066493153572, -0.08241298794746399, -0.04485193267464638, 0.07382016628980637, 0.0713464766740799, -0.09445595741271973, -0.027942949905991554, -0.002559131709858775, 0.022377144545316696, 0.0601172149181366, -0.20075960457324982, -0.09217756241559982, -0.024346332997083664, 0.008381257764995098, -0.05282633379101753, 0.0026038859505206347, 0.04800914600491524, -0.04739072173833847, 0.07460132986307144, -0.0006296114879660308, -0.011514058336615562, 0.1503744125366211, 0.053607501089572906, -0.03456658497452736, 0.038732804358005524, 0.09393518418073654, -0.07199744135141373, -0.01884562335908413, -0.1794077306985855, -0.09015955030918121, 0.07089079171419144, -0.08286866545677185, 0.01687643490731716, -0.022832823917269707, -0.04185746610164642, 0.053119271993637085, -0.021856367588043213, 0.024525349959731102, -0.023028116673231125, 0.00832022912800312, -0.04423351213335991, 0.04384293034672737, 0.020831087604165077, -0.018780527636408806, -0.049766767770051956, 0.09699475020170212, 0.010993280448019505, 0.032027795910835266, 0.09998922049999237, 0.003551863133907318, 0.0007130171870812774, -0.04768365994095802, -0.07831186801195145, -0.05481179803609848, 0.14087022840976715, 0.05253339931368828, 0.04446135088801384, -0.004381851758807898, 0.02223067544400692, 0.014191177673637867, -0.09341440349817276, 0.04511232301592827, -0.07147666811943054, 0.017413487657904625, -0.009756434708833694, -0.018471315503120422, 0.02335360087454319, -0.06867749243974686, -0.10825655609369278, -0.10754048824310303, -0.1426929533481598, -0.044917032122612, 0.003271131543442607, 0.06997943669557571, 0.12785080075263977, -0.036747340112924576, 0.10741029679775238, 0.02625042386353016, -0.026868848130106926, 0.08918309211730957, -0.054063182324171066, -0.0003964314528275281, 0.061223868280649185, -0.056960005313158035, -0.00785641185939312, 0.01550939492881298, -0.02289792150259018, 0.09484654664993286, -0.10701970756053925, 0.11691447347402573, 0.010887498036026955, 0.0007089486462064087, -0.00028683431446552277, -0.012921784073114395, -0.11509175598621368, -0.03365522623062134, 0.024834562093019485, 0.065520279109478, -0.012897372245788574, -0.0386677049100399, 0.10571777075529099, -0.09074542671442032, 0.08098085224628448, 0.02491593360900879, -0.06604105234146118, -0.004158080089837313, 0.03074212744832039, 0.03489207103848457, -0.006371383089572191, 0.09367479383945465, 0.09204736351966858, -0.008413806557655334, 0.04657701030373573, 0.07629385590553284, 0.041662175208330154, 0.0016904915682971478, -0.04289902001619339, -0.001343645853921771, 0.028203338384628296, 0.029261168092489243, 0.06327442824840546, 0.02091245912015438, 0.021058926358819008, 0.11216238141059875, -0.029342539608478546, 0.0030880458652973175, 0.02786157839000225, -0.1398286670446396, -0.042540986090898514, -0.07583817839622498, -0.01662418432533741, 0.013890103437006474, -0.0004889914416708052, -0.07264841347932816, 0.03746340796351433, 0.0713464766740799, 0.11307374387979507, -0.0759032741189003, 0.04296411573886871, 0.07486172020435333, -0.05666706711053848, -0.04823698475956917, -0.00465444615110755, -0.09263323992490768, -0.0197569839656353, -0.003720708889886737, -0.03339483588933945, 0.010016823187470436, -0.05546277016401291, -0.0615493543446064, 0.05891291797161102, 0.043680187314748764, -0.002797143068164587, 0.016664870083332062, -0.11125102639198303, 0.06789632141590118]"
